merchant_id,feature,is_used,monthly_frequency
BPM100000,QR Payments,No,0
BPM100000,Soundbox Alerts,No,0
BPM100000,Business Reports,Yes,2
BPM100000,Settlement History,Yes,12
BPM100000,Loan Dashboard,Yes,6
BPM100000,Rewards,Yes,6
BPM100001,QR Payments,No,0
BPM100001,Soundbox Alerts,No,0
BPM100001,Business Reports,Yes,6
BPM100001,Settlement History,Yes,6
BPM100001,Loan Dashboard,No,0
BPM100001,Rewards,Yes,10
BPM100002,QR Payments,No,0
BPM100002,Soundbox Alerts,No,0
BPM100002,Business Reports,Yes,3
BPM100002,Settlement History,Yes,11
BPM100002,Loan Dashboard,No,0
BPM100002,Rewards,No,0
BPM100003,QR Payments,Yes,28
BPM100003,Soundbox Alerts,Yes,14
BPM100003,Business Reports,No,0
BPM100003,Settlement History,Yes,11
BPM100003,Loan Dashboard,Yes,2
BPM100003,Rewards,Yes,20
BPM100004,QR Payments,Yes,26
BPM100004,Soundbox Alerts,Yes,13
BPM100004,Business Reports,Yes,5
BPM100004,Settlement History,Yes,5
BPM100004,Loan Dashboard,Yes,6
BPM100004,Rewards,Yes,5
BPM100005,QR Payments,Yes,17
BPM100005,Soundbox Alerts,Yes,8
BPM100005,Business Reports,No,0
BPM100005,Settlement History,Yes,9
BPM100005,Loan Dashboard,Yes,8
BPM100005,Rewards,Yes,11
BPM100006,QR Payments,Yes,23
BPM100006,Soundbox Alerts,Yes,16
BPM100006,Business Reports,Yes,3
BPM100006,Settlement History,Yes,10
BPM100006,Loan Dashboard,Yes,3
BPM100006,Rewards,Yes,19
BPM100007,QR Payments,Yes,27
BPM100007,Soundbox Alerts,Yes,12
BPM100007,Business Reports,No,0
BPM100007,Settlement History,Yes,19
BPM100007,Loan Dashboard,Yes,4
BPM100007,Rewards,Yes,10
BPM100008,QR Payments,No,0
BPM100008,Soundbox Alerts,Yes,8
BPM100008,Business Reports,Yes,7
BPM100008,Settlement History,Yes,20
BPM100008,Loan Dashboard,No,0
BPM100008,Rewards,Yes,18
BPM100009,QR Payments,Yes,25
BPM100009,Soundbox Alerts,Yes,15
BPM100009,Business Reports,No,0
BPM100009,Settlement History,Yes,7
BPM100009,Loan Dashboard,Yes,7
BPM100009,Rewards,Yes,15
BPM100010,QR Payments,No,0
BPM100010,Soundbox Alerts,No,0
BPM100010,Business Reports,No,0
BPM100010,Settlement History,No,0
BPM100010,Loan Dashboard,No,0
BPM100010,Rewards,Yes,11
BPM100011,QR Payments,No,0
BPM100011,Soundbox Alerts,Yes,13
BPM100011,Business Reports,Yes,3
BPM100011,Settlement History,Yes,13
BPM100011,Loan Dashboard,No,0
BPM100011,Rewards,Yes,13
BPM100012,QR Payments,Yes,16
BPM100012,Soundbox Alerts,Yes,5
BPM100012,Business Reports,No,0
BPM100012,Settlement History,Yes,18
BPM100012,Loan Dashboard,Yes,3
BPM100012,Rewards,Yes,20
BPM100013,QR Payments,No,0
BPM100013,Soundbox Alerts,No,0
BPM100013,Business Reports,No,0
