interaction_id,merchant_id,date,category,issue,channel,resolution_status,resolution_time_days
INT736828,BPM100000,2025-05-11,Technical,Login Issues,Phone,Pending,13.0
INT551902,BPM100001,2025-05-07,Product,Device Replacement,Field Agent,Resolved,3.0
INT674574,BPM100001,2025-02-24,Product,New Product Inquiry,In-App,Resolved,5.0
INT895569,BPM100002,2025-04-04,Financial,Transaction Dispute,Email,Resolved,5.0
INT493670,BPM100002,2025-04-24,Product,Feature Request,Phone,Pending,8.0
INT236674,BPM100002,2025-02-20,Product,New Product Inquiry,In-App,Pending,9.0
INT646655,BPM100002,2025-05-12,Financial,Loan Inquiry,WhatsApp,Pending,8.0
INT817344,BPM100003,2025-03-13,Financial,Transaction Dispute,Field Agent,Resolved,2.0
INT634582,BPM100003,2025-03-26,Technical,Login Issues,In-App,Resolved,2.0
INT579051,BPM100004,2025-05-15,Financial,Loan Inquiry,Email,Pending,10.0
INT275983,BPM100007,2025-03-12,Account,Account Update,Email,Resolved,5.0
INT576970,BPM100007,2025-04-26,Product,New Product Inquiry,Email,Pending,4.0
INT230816,BPM100007,2025-05-15,Financial,Settlement Delay,Field Agent,Resolved,5.0
INT134784,BPM100010,2025-04-05,Technical,App Crash,Field Agent,Pending,3.0
INT820809,BPM100010,2025-05-09,Product,New Product Inquiry,Phone,Pending,6.0
INT965357,BPM100013,2025-03-15,Technical,Payment Failed,Field Agent,Pending,10.0
INT112685,BPM100013,2025-04-07,Account,Bank Account Change,Field Agent,Resolved,2.0
INT120861,BPM100013,2025-04-24,Technical,App Crash,Field Agent,Escalated,18.0
INT273544,BPM100013,2025-03-08,Product,Feature Request,WhatsApp,Resolved,2.0
INT498583,BPM100015,2025-05-18,Financial,Settlement Delay,In-App,Resolved,2.0
INT683412,BPM100016,2024-11-27,Technical,Soundbox Issues,In-App,Pending,7.0
INT770699,BPM100016,2024-11-11,Financial,Transaction Dispute,WhatsApp,Customer Dropout,
INT279450,BPM100017,2025-04-01,Product,Device Replacement,Field Agent,Resolved,4.0
INT827331,BPM100018,2025-02-23,Account,Account Update,Field Agent,Resolved,4.0
INT284551,BPM100019,2025-02-22,Financial,Transaction Dispute,Email,Resolved,1.0
INT756587,BPM100019,2025-05-19,Technical,QR Code Not Working,In-App,Resolved,4.0
INT910903,BPM100020,2025-04-05,Account,Password Reset,In-App,Resolved,0.0
INT627206,BPM100020,2025-03-02,Product,New Product Inquiry,Field Agent,Pending,11.0
INT255024,BPM100021,2025-03-27,Product,Pricing Query,WhatsApp,Resolved,1.0
INT259733,BPM100023,2025-04-12,Financial,Transaction Dispute,WhatsApp,Resolved,5.0
