loan_id,merchant_id,approval_date,end_date,loan_type,loan_amount,interest_rate,loan_term_months,monthly_installment,amount_paid,remaining_amount,status
LN81875,BPM100001,2024-04-04,2024-07-03,Business Expansion,290000,18.5,3,99662,343650.0,0.0,Paid
LN17938,BPM100001,2024-07-23,2025-07-18,Short Term Cash Flow,51000,15.68,12,4620,58996.8,0.0,Paid
LN50260,BPM100007,2023-07-22,2025-01-12,Inventory Financing,290000,15.23,18,18123,334167.0,0.0,Paid
LN21095,BPM100007,2023-07-04,2024-03-30,Working Capital,102000,16.26,9,12115,118585.2,0.0,Paid
LN17289,BPM100007,2022-11-01,2022-12-31,Inventory Financing,169000,20.01,6,29833,89499.0,113317.9,Default
LN80260,BPM100007,2022-08-03,,Short Term Cash Flow,32000,15.6,18,2005,18045.0,18947.0,Active
LN26673,BPM100008,2023-11-21,2024-02-19,Business Expansion,627000,21.48,3,216526,761679.6,0.0,Paid
LN27753,BPM100008,2024-05-12,2024-08-10,Short Term Cash Flow,50000,21.54,3,17269,60770.0,0.0,Paid
LN50193,BPM100008,2023-08-27,2025-02-17,Working Capital,162000,14.47,18,10066,185441.4,0.0,Paid
LN32191,BPM100008,2022-10-10,,Working Capital,139000,17.34,9,16582,66328.0,96774.6,Active
LN42564,BPM100011,2024-09-25,,Inventory Financing,150000,18.67,6,26379,79137.0,98868.0,Active
LN45447,BPM100014,2023-11-09,2024-08-05,Inventory Financing,270000,18.4,9,32347,319680.0,0.0,Paid
LN80877,BPM100017,2024-03-09,,Equipment Purchase,245000,22.52,3,84751,84751.0,215423.0,Active
LN57112,BPM100021,2025-02-16,2026-08-10,Short Term Cash Flow,45000,15.95,18,2827,52177.5,0.0,Paid
LN66579,BPM100021,2024-08-16,2025-02-12,Working Capital,92000,19.84,6,16233,110252.8,0.0,Paid
LN56685,BPM100022,2023-04-17,2023-06-16,Inventory Financing,449000,19.76,3,154623,154623.0,383099.4,Default
LN92931,BPM100026,2024-12-13,,Equipment Purchase,187000,18.54,9,22416,89664.0,132005.8,Active
LN67501,BPM100027,2024-12-27,2025-12-22,Working Capital,70000,15.62,12,6339,80934.0,0.0,Paid
LN13251,BPM100027,2023-03-30,2024-03-24,Business Expansion,185000,14.58,12,16661,211973.0,0.0,Paid
LN37566,BPM100030,2023-10-09,2024-07-05,Working Capital,169000,19.35,9,20324,201701.5,0.0,Paid
LN49330,BPM100030,2023-06-09,2024-11-30,Inventory Financing,314000,13.42,18,19356,356138.8,0.0,Paid
LN52367,BPM100036,2024-06-10,2024-12-07,Short Term Cash Flow,52000,18.04,6,9128,61380.8,0.0,Paid
LN37401,BPM100036,2023-07-10,2024-07-04,Business Expansion,736000,17.62,12,67343,865683.2,0.0,Paid
LN29620,BPM100036,2023-06-06,,Short Term Cash Flow,47000,21.1,3,16221,16221.0,40696.0,Active
LN82147,BPM100042,2024-10-08,2025-07-05,Inventory Financing,155000,18.88,9,18605,184264.0,0.0,Paid
LN16028,BPM100043,2024-04-27,2025-04-22,Short Term Cash Flow,46000,15.85,12,4170,53291.0,0.0,Paid
LN68825,BPM100044,2025-03-09,2025-12-04,Equipment Purchase,151000,17.33,9,18012,177168.3,0.0,Paid
LN39938,BPM100044,2024-04-24,2025-10-16,Short Term Cash Flow,94000,14.24,18,5831,107385.6,0.0,Paid
LN29927,BPM100044,2024-06-27,,Equipment Purchase,119000,17.09,12,10858,65148.0,74189.1,Active
LN44731,BPM100046,2024-11-09,,Short Term Cash Flow,87000,14.01,18,5387,48483.0,50705.7,Default
LN13689,BPM100047,2024-07-03,2025-06-28,Inventory Financing,220000,16.59,12,20022,256498.0,0.0,Paid
LN30192,BPM100047,2023-11-25,2025-05-18,Inventory Financing,259000,14.75,18,16127,297202.5,0.0,Paid
LN75265,BPM100054,2024-04-27,2024-07-26,Working Capital,198000,18.82,3,68081,235263.6,0.0,Paid
LN45144,BPM100054,2024-01-28,2024-04-27,Working Capital,121000,18.37,3,41574,143227.7,0.0,Paid
LN60793,BPM100054,2023-06-21,,Inventory Financing,370000,15.46,12,33476,200856.0,226346.0,Active
LN99797,BPM100056,2024-07-06,2025-12-28,Business Expansion,603000,15.08,18,37641,693932.4,0.0,Paid
LN89049,BPM100056,2024-02-19,,Short Term Cash Flow,60000,19.85,6,10587,31761.0,40149.0,Active
LN53909,BPM100058,2024-01-14,,Inventory Financing,496000,15.07,9,58629,234516.0,336231.2,Active
LN57354,BPM100059,2024-12-19,,Equipment Purchase,124000,19.46,9,14919,59676.0,88454.4,Active
LN70746,BPM100065,2024-01-30,2024-04-29,Business Expansion,746000,18.75,3,256478,885875.0,0.0,Paid
LN24376,BPM100066,2023-07-17,2023-09-15,Equipment Purchase,95000,17.56,9,11343,45372.0,66310.0,Default
LN50377,BPM100072,2023-02-27,,Business Expansion,185000,21.46,6,32792,98376.0,126325.0,Active
LN93131,BPM100074,2025-03-22,2026-09-13,Working Capital,181000,14.96,18,11288,208077.6,0.0,Paid
LN81107,BPM100074,2023-09-03,2025-02-24,Inventory Financing,257000,13.98,18,15910,292928.6,0.0,Paid
LN60384,BPM100074,2023-11-01,2024-01-30,Inventory Financing,72000,23.07,3,24929,88610.4,0.0,Paid
LN18323,BPM100074,2022-10-25,2023-04-23,Equipment Purchase,149000,20.69,6,26353,179828.1,0.0,Paid
LN20923,BPM100074,2023-06-13,,Short Term Cash Flow,75000,21.25,3,25891,25891.0,65046.5,Active
LN34716,BPM100075,2023-10-27,2024-07-23,Inventory Financing,327000,19.68,9,39377,391353.6,0.0,Paid
LN11368,BPM100075,2023-04-11,2024-04-05,Equipment Purchase,201000,17.33,12,18364,235833.3,0.0,Paid
LN41640,BPM100076,2024-04-01,,Equipment Purchase,135000,19.13,3,46442,46442.0,114383.5,Active
LN11457,BPM100078,2024-06-26,2025-06-21,Equipment Purchase,270000,17.62,12,24705,317574.0,0.0,Paid
LN46433,BPM100078,2025-01-02,,Business Expansion,355000,15.5,12,32126,192756.0,217269.0,Active
LN85660,BPM100080,2022-11-14,,Inventory Financing,297000,15.65,12,26898,161388.0,182092.5,Active
LN15659,BPM100083,2024-01-04,2024-07-02,Business Expansion,657000,17.23,6,115068,770201.1,0.0,Paid
LN50330,BPM100083,2024-06-01,2025-05-27,Inventory Financing,450000,17.18,12,41081,527310.0,0.0,Paid
LN24030,BPM100083,2022-08-11,2024-01-03,Short Term Cash Flow,72000,13.6,18,4444,39996.0,41796.0,Default
LN57687,BPM100086,2023-10-10,2025-04-02,Equipment Purchase,299000,15.98,18,18791,346780.2,0.0,Paid
LN77312,BPM100086,2024-06-05,2024-09-03,Inventory Financing,477000,19.99,3,164327,572352.3,0.0,Paid
LN25047,BPM100086,2024-04-14,2025-01-09,Working Capital,159000,17.59,9,18987,186968.1,0.0,Paid
LN20432,BPM100088,2024-01-02,,Short Term Cash Flow,73000,22.26,3,25242,25242.0,64007.8,Active
LN84480,BPM100090,2023-08-28,2024-05-24,Working Capital,54000,15.3,9,6389,62262.0,0.0,Paid
LN60918,BPM100090,2023-11-22,,Short Term Cash Flow,81000,15.42,18,5069,45621.0,47869.2,Active
LN94261,BPM100096,2024-04-06,2024-08-04,Short Term Cash Flow,32000,17.5,12,2926,17556.0,20044.0,Default
LN26522,BPM100096,2024-04-17,,Equipment Purchase,113000,15.81,18,7093,63837.0,67028.3,Active
LN25896,BPM100097,2023-12-18,2025-06-10,Short Term Cash Flow,71000,13.3,18,4373,80443.0,0.0,Paid
LN34547,BPM100097,2022-11-03,,Working Capital,151000,15.78,9,17900,71600.0,103227.8,Active
LN33094,BPM100100,2024-12-29,,Working Capital,142000,18.26,9,17002,68008.0,99921.2,Active
LN63026,BPM100104,2025-02-12,,Equipment Purchase,107000,20.12,6,18894,56682.0,71846.4,Active
LN86605,BPM100106,2024-09-12,2025-06-09,Business Expansion,977000,19.7,9,117660,1169469.0,0.0,Paid
LN41205,BPM100106,2024-07-31,,Equipment Purchase,272000,18.96,9,32660,130640.0,192931.2,Active
LN45886,BPM100107,2024-12-26,2025-09-22,Working Capital,127000,17.95,9,15187,149796.5,0.0,Paid
LN70925,BPM100107,2023-12-02,2024-11-26,Inventory Financing,120000,14.83,12,10821,137796.0,0.0,Paid
LN71006,BPM100107,2024-09-20,2025-06-17,Working Capital,104000,16.66,9,12372,121326.4,0.0,Paid
LN94251,BPM100108,2024-11-14,2025-11-09,Business Expansion,935000,16.91,12,85237,1093108.5,0.0,Paid
LN61138,BPM100108,2023-06-16,,Short Term Cash Flow,92000,15.62,12,8331,49986.0,56384.4,Active
LN40887,BPM100109,2023-06-19,2024-03-15,Short Term Cash Flow,47000,18.06,9,5623,55488.2,0.0,Paid
LN96952,BPM100109,2023-04-20,2024-10-11,Short Term Cash Flow,27000,14.47,18,1678,30906.9,0.0,Paid
LN12952,BPM100109,2024-06-20,2025-12-12,Short Term Cash Flow,77000,13.21,18,4739,87171.7,0.0,Paid
LN80103,BPM100110,2023-12-09,,Business Expansion,852000,15.37,18,53300,479700.0,503252.4,Active
LN93293,BPM100121,2024-11-14,2025-02-12,Inventory Financing,336000,19.37,3,115635,401083.2,0.0,Paid
LN11620,BPM100123,2024-11-15,2026-05-09,Working Capital,36000,14.63,18,2240,41266.8,0.0,Paid
LN46121,BPM100123,2024-02-28,2024-05-28,Short Term Cash Flow,43000,22.86,3,14883,52829.8,0.0,Paid
LN97829,BPM100123,2022-07-01,,Inventory Financing,327000,20.72,6,57841,173523.0,221231.4,Active
