merchant_id,business_name,business_category,subcategory,state,district,city,tier,pin_code,onboarding_date,acquisition_channel,device_type,active_status,last_transaction_date,qr_displayed,soundbox_adopted,swipe_machine,loans_taken,current_loan_status,monthly_transaction_count,monthly_transaction_value,avg_ticket_size
BPM100000,Bakshi Emporium,Food & Beverage,Cafe,Delhi,East Delhi,East Delhi,Tier 3,110028,2023-06-11,Field Sales,Android High-End,Active,2025-05-03,Yes,No,No,0,No Loan,997,93823,94.11
BPM100001,Anvi Store,Services,Salon,Karnataka,Mysore,Mysore,Tier 2,567055,2023-02-16,Digital Marketing,Android Mid-Range,Active,2025-05-02,Yes,No,Yes,2,Paid,126,107977,856.96
BPM100002,New Shop,Wholesale,Electronics Wholesale,Delhi,North Delhi,North Delhi,Tier 3,110035,2023-08-18,Field Sales,Android Low-End,Dormant,2025-03-10,Yes,No,Yes,0,No Loan,61,360925,5916.8
BPM100003,Mega Traders,Retail,Electronics,Uttar Pradesh,Varanasi,Varanasi,Tier 3,235093,2022-11-11,Field Sales,iPhone,Active,2025-05-05,Yes,Yes,No,0,No Loan,682,87429,128.2
BPM100004,Modern Shop,Food & Beverage,Sweet Shop,Punjab,Amritsar,Amritsar,Tier 1,143592,2024-01-12,Field Sales,Android Low-End,Active,2025-05-02,Yes,Yes,No,0,No Loan,1696,187675,110.66
BPM100005,Chander Shop,Food & Beverage,Cafe,Maharashtra,Aurangabad,Aurangabad,Tier 3,417261,2022-09-18,Field Sales,Android Low-End,Active,2025-04-19,Yes,No,Yes,0,No Loan,866,88176,101.82
BPM100006,Tejas Junction,Food & Beverage,Sweet Shop,Delhi,Central Delhi,Central Delhi,Tier 3,110097,2023-11-29,Field Sales,Android Low-End,Active,2025-04-20,Yes,No,Yes,0,No Loan,1040,94370,90.74
BPM100007,Bala Point,Food & Beverage,Bakery,Uttar Pradesh,Lucknow,Lucknow,Tier 2,277110,2022-11-30,Field Sales,Android Low-End,Active,2025-05-03,Yes,No,Yes,4,Active,477,66913,140.28
BPM100008,Shri & Sons,Wholesale,Stationery Wholesale,Gujarat,Vadodara,Vadodara,Tier 2,387759,2022-12-23,App Store Download,iPhone,Active,2025-05-02,Yes,Yes,Yes,4,Active,55,264592,4810.76
BPM100009,Royal Enterprises,Wholesale,Stationery Wholesale,Tamil Nadu,Coimbatore,Coimbatore,Tier 3,626634,2023-07-05,Field Sales,iPhone,Active,2025-04-24,Yes,Yes,No,0,No Loan,75,264192,3522.56
BPM100010,New & Sons,Services,Salon,Punjab,Amritsar,Amritsar,Tier 3,164509,2024-01-05,Field Sales,Android Mid-Range,Dormant,2025-04-08,Yes,Yes,No,0,No Loan,78,99076,1270.21
BPM100011,Nathaniel Center,Services,Tailor,Punjab,Ludhiana,Ludhiana,Tier 3,161945,2022-08-20,Field Sales,Android Mid-Range,Active,2025-05-19,Yes,No,No,1,Active,127,79309,624.48
BPM100012,Mall Shop,Services,Printing Services,Punjab,Bathinda,Bathinda,Tier 3,140256,2023-06-15,Referral,Android High-End,Active,2025-05-13,Yes,Yes,No,0,No Loan,98,40797,416.3
BPM100013,Nachiket Center,Services,Tailor,Maharashtra,Pune,Pune,Tier 2,441753,2023-03-15,Field Sales,Android Low-End,Dormant,2025-04-17,Yes,No,Yes,0,No Loan,377,85961,228.01
BPM100014,Chaudry Enterprise,Food & Beverage,Bakery,Delhi,North Delhi,North Delhi,Tier 3,110079,2022-10-14,Field Sales,Android High-End,Active,2025-04-20,Yes,No,No,1,Paid,469,183468,391.19
BPM100015,Rai Enterprises,Food & Beverage,Restaurant,Uttar Pradesh,Agra,Agra,Tier 3,229831,2023-06-10,Partner Bank,Android Low-End,Active,2025-05-03,Yes,No,No,0,No Loan,674,77217,114.57
BPM100016,Parmer Emporium,Services,Mobile Repair,Delhi,New Delhi,New Delhi,Tier 2,110100,2022-10-12,Field Sales,Android High-End,Churned,2024-12-03,Yes,No,No,0,No Loan,318,54253,170.61
BPM100017,Hemangini Junction,Wholesale,Electronics Wholesale,West Bengal,Durgapur,Durgapur,Tier 2,721376,2023-05-12,Digital Marketing,Android Mid-Range,Active,2025-05-01,Yes,No,Yes,1,Active,160,334156,2088.47
BPM100018,Sharaf Enterprise,Retail,Electronics,Karnataka,Belgaum,Belgaum,Tier 2,570983,2022-11-17,Field Sales,Android Mid-Range,Active,2025-04-22,Yes,No,No,0,No Loan,491,82040,167.09
BPM100019,Mega Emporium,Wholesale,Grocery Wholesale,Delhi,New Delhi,New Delhi,Tier 2,110066,2023-01-02,App Store Download,Android Mid-Range,Active,2025-05-02,Yes,No,No,0,No Loan,199,310309,1559.34
